,Year_0,row_id,conf2can_0
1396,2022,2022_960,UK Biobanking Showcase
1406,2022,2022_970,WSSSPE
1407,2022,2022_970,SuperComputing
1408,2022,2022_970,CHASE
1409,2022,2022_970,BioIT World
1410,2022,2022_970,CHI
1411,2022,2022_970,UK eScience All Hands
1414,2022,2022_972,SETAC Europe
1415,2022,2022_972,Pesticides Symposium
1420,2022,2022_977,iAssist
1422,2022,2022_979,ISMB
1423,2022,2022_979,GCB
1424,2022,2022_980,EGU
1425,2022,2022_980,Quadrennial Ozone Symposium (QOS)
1436,2022,2022_991,useR!
1443,2022,2022_996,IEEE eScience
1444,2022,2022_996,ACM PEARC
1447,2022,2022_998,IEEE eScience
1448,2022,2022_998,PEARC
1450,2022,2022_1000,SPIE Smart Structures
